date,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant
2023-08-28 04:00:00+00:00,35.199867,17.965694,26.137331,0,0,47078.703,42931.72,0.007874016,0.0,0.05511811,2.0,5.80328,20.3567,275.94138
2023-08-29 04:00:00+00:00,37.20457,12.405987,24.061247,0,0,46951.414,43421.38,0.003937008,0.0,0.027559055,1.0,6.891267,27.9625,275.72885
2023-08-30 04:00:00+00:00,40.90145,15.55328,27.149405,0,0,46823.195,43238.68,0.0,0.0,0.0,0.0,4.58994,12.5272,242.93533
2023-08-31 04:00:00+00:00,47.85829,15.736031,32.91721,0,0,46694.14,42700.88,0.0,0.0,0.0,0.0,5.1499605,21.0278,240.6243
2023-09-01 04:00:00+00:00,49.637974,20.999691,33.517044,0,0,46564.336,42470.965,0.0,0.0,0.0,0.0,6.2395864,25.0544,267.55035
2023-09-02 04:00:00+00:00,47.151714,19.60595,32.14507,0,0,46433.88,42387.906,0.003937008,0.0,0.027559055,1.0,7.3820996,29.528399,271.2844
2023-09-03 04:00:00+00:00,43.32763,18.365595,28.9924,0,0,46302.85,42459.15,0.04330709,0.0,0.30314958,6.0,7.4663534,27.738798,277.67438
2023-09-04 04:00:00+00:00,40.492252,15.369566,28.872026,0,0,46171.344,42613.37,0.0,0.0,0.0,0.0,6.6246934,24.159601,266.78052
2023-09-05 04:00:00+00:00,35.625668,15.236361,24.955374,0,0,46039.44,42134.78,0.031496063,0.0,0.2480315,6.0,7.3379054,26.620298,308.85342
2023-09-06 04:00:00+00:00,33.78755,16.591595,24.436007,0,0,45907.23,42205.25,0.05905512,0.0,0.44094485,7.0,4.4120536,17.4486,271.01694
2023-09-07 04:00:00+00:00,37.701508,15.729837,26.372276,0,0,45774.79,42190.42,0.011811024,0.0,0.08267716,3.0,6.1872363,19.6856,282.3311
2023-09-08 04:00:00+00:00,41.91875,17.013308,28.557165,0,0,45642.21,41963.63,0.0,0.0,0.0,0.0,5.0469017,19.9093,266.85196
2023-09-09 04:00:00+00:00,37.8335,16.365313,26.138283,0,0,45509.56,40749.85,0.01968504,0.0,0.13779528,3.0,6.2636,19.9093,335.47516
2023-09-10 04:00:00+00:00,39.661316,17.273975,27.11627,0,0,45376.938,41705.293,0.035433073,0.0,0.24803151,3.0,4.8290186,15.659,298.04004
2023-09-11 04:00:00+00:00,41.27693,20.330975,30.252014,0,0,45244.406,41766.59,0.007874016,0.0,0.05511811,2.0,3.796315,12.079801,229.61058
2023-09-12 04:00:00+00:00,47.772175,18.786,32.909348,0,0,45112.06,41676.777,0.0,0.0,0.0,0.0,5.5340323,16.7775,268.16428
2023-09-13 04:00:00+00:00,50.058205,18.484806,34.700096,0,0,44979.97,41586.414,0.0,0.0,0.0,0.0,4.5626025,14.5405,255.14128
